x	y	z	Ax	Ay	Az
2.7447867504093899e-02	-1.5847033692169801e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.0897008776664734e-03
2.6852552049902199e-02	-1.6776972169996900e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.8109655082225800e-03
2.6881896187210399e-02	-1.6157092007792199e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.4925509765744209e-03
2.6911240324518599e-02	-1.5537211845587500e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.2310830950737017e-03
0.0000000000000000e+00	-3.2313711077504102e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.5511995926499375e-03
0.0000000000000000e+00	-3.1694067384339601e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.7102857865393153e-03
5.5150403642539501e-04	-3.1978594697080906e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.0810578763484955e-03
0.0000000000000000e+00	-3.1074423691175100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.8164435215294344e-03
5.5150403642539501e-04	-3.1358951003916405e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.2139091789722443e-03
1.1030080728507900e-03	-3.1643478316657703e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.6404954306781292e-03
